№ п/п;№ ФО;ФО;№ ветви;Тип;Файл;Строка
1;1;cstr_len;1;while;advanced_demo.cpp;7
2;2;skip_spaces;1;for;advanced_demo.cpp;14
3;3;classify_empty;1;if;advanced_demo.cpp;21
4;3;classify_empty;1;else;advanced_demo.cpp;22
5;4;do_once;1;do;advanced_demo.cpp;29
6;4;do_once;2;if;advanced_demo.cpp;30
7;5;find_first_zero;1;for;advanced_demo.cpp;39
8;5;find_first_zero;2;if;advanced_demo.cpp;40
9;5;find_first_zero;3;if;advanced_demo.cpp;41
10;6;is_palindrome;1;for;advanced_demo.cpp;48
11;6;is_palindrome;2;if;advanced_demo.cpp;49
12;7;safe_div;1;try;advanced_demo.cpp;55
13;7;safe_div;2;if;advanced_demo.cpp;56
14;8;count_positive;1;for;advanced_demo.cpp;70
15;9;factorial;1;if;advanced_demo.cpp;77
16;10;brace_literal_guard;1;if;advanced_demo.cpp;88
17;11;case_no_space_kind;1;case;advanced_demo.cpp;99
18;11;case_no_space_kind;2;default;advanced_demo.cpp;100
19;13;clamp_val;1;if;advanced_demo.h;39
20;13;clamp_val;2;if;advanced_demo.h;40
21;14;simple_try;1;try;exception_demo.cpp;7
22;14;simple_try;2;if;exception_demo.cpp;8
23;15;try_multiple_catch;1;try;exception_demo.cpp;20
24;15;try_multiple_catch;2;if;exception_demo.cpp;21
25;15;try_multiple_catch;3;if;exception_demo.cpp;24
26;15;try_multiple_catch;4;if;exception_demo.cpp;27
27;16;nested_try;1;try;exception_demo.cpp;43
28;16;nested_try;2;try;exception_demo.cpp;44
29;16;nested_try;3;if;exception_demo.cpp;45
30;17;while_try_no_brace;1;while;exception_demo.cpp;69
31;17;while_try_no_brace;2;try;exception_demo.cpp;70
32;17;while_try_no_brace;3;if;exception_demo.cpp;71
33;18;try_with_loop;1;try;exception_demo.cpp;85
34;18;try_with_loop;2;for;exception_demo.cpp;86
35;18;try_with_loop;3;if;exception_demo.cpp;88
36;18;try_with_loop;4;if;exception_demo.cpp;93
37;19;simple_if;1;if;if_demo.cpp;6
